Section,BAT ID,Object,Redshift,D,Opt. class,Nuc. morph.,F_nu(N-band),F_nu(Q-band),d_unr,R_AS,R_tot
,,,,(Mpc),,,(mJy),(mJy),(pc),,
\ref{app:NGC6221},,NGC 6221,0.0050,10.7,Cp*,comp.,104,190,21,0.13,0.033
\ref{app:NGC6240N},120,NGC 6240N,0.0251,114.0,Cp,comp.,17,75,274,0.07,0.029
\ref{app:NGC6240S},120,NGC 6240S,0.0249,113.0,Cp,comp.,93,370,294,0.29,0.157
\ref{app:NGC6251},,NGC 6251,0.0247,112.0,1/2/L,?,14,,197,0.37,0.716
\ref{app:NGC6300},,NGC 6300,0.0037,14.3,2,o,554,,20,0.63,0.324
\ref{app:NGC6810},,NGC 6810,0.0068,28.6,Cp*,ellip.,44,,48.9,0.08,0.035
\ref{app:NGC6814},129,NGC 6814,0.0052,20.1,1.5,-,96,150,33.5,0.93,0.104
\ref{app:NGC6860},133,NGC 6860,0.0149,65.8,1.5,-,206,304,105,1.06,0.824
\ref{app:NGC6890},,NGC 6890,0.0081,33.8,1.9/2,o,117,,56.9,0.82,0.341
\ref{app:NGC7130},,NGC 7130,0.0162,68.9,Cp,circ.,105,,100,0.38,0.180
\ref{app:NGC7172},145,NGC 7172,0.0087,34.8,2,ellip.,185,,52.2,0.44,0.441
\ref{app:NGC7212},,NGC 7212,0.0267,116.0,2,o,110,317,311,0.78,0.560
\ref{app:NGC7213},146,NGC 7213,0.0058,23.0,1.5/L,-,203,403,32.9,0.82,0.313
\ref{app:NGC7314},147,NGC 7314,0.0048,18.3,1.9/2,circ.,62,176,34.5,0.69,0.112
\ref{app:NGC7469},152,NGC 7469,0.0163,67.9,1/1.5,comp.,485,1174,109,0.46,0.305
\ref{app:NGC7479},,NGC 7479,0.0079,30.0,2,-,695,,54.5,0.84,0.507
\ref{app:NGC7496},,NGC 7496,0.0055,21.1,Cp,circ.,170,389,53.3,0.55,0.292
\ref{app:NGC7552},,NGC 7552,0.0054,20.4,L/H*,?,63,100,39.3,0.05,0.017
\ref{app:NGC7582},154,NGC 7582,0.0053,23.0,Cp,comp.,443,568,33.9,0.35,0.193
\ref{app:NGC7590},,NGC 7590,0.0053,26.5,2:*,?,11,,43.5,0.52,0.015
\ref{app:NGC7592W},,NGC 7592W,0.0246,105.0,Cp,?,135,173,276,0.71,0.521
\ref{app:NGC7626},,NGC 7626,0.0114,45.4,L:,?,18,,73.2,0.95,0.376
\ref{app:NGC7674},,NGC 7674,0.0289,126.0,2,ellip.,382,841,175,0.82,0.562
\ref{app:NGC7679},,NGC 7679,0.0171,71.7,Cp,?,36,,105,0.20,0.072
\ref{app:NGC7743},,NGC 7743,0.0057,19.2,2/L,?,9,,28.8,0.38,0.090
\ref{app:PG0026+129},,PG 0026+129,0.1420,691.0,1.2,?,32,,1421,1.17,1.796
\ref{app:PG0052+251},,PG 0052+251,0.1545,759.0,1.2,?,28,,1328,0.72,0.346
\ref{app:PG0844+349},,PG 0844+349,0.0640,302.0,1,o,39,,643,0.80,0.313
\ref{app:PG2130+099},,PG 2130+099,0.0630,288.0,1.5,?,188,,451,1.09,1.010
\ref{app:PictorA},40,Pictor A,0.0351,161.0,1.5/L,?,75,128,249,0.97,0.684
\ref{app:PKS1417-19},,PKS 1417-19,0.1200,586.0,1.5,o,20,,844,,
\ref{app:PKS1814-63},,PKS 1814-63,0.0647,302.0,2,?,28,,595,0.94,
\ref{app:PKS1932-46},,PKS 1932-46,0.2307,1191.0,1.9,?,2,,2034,,
\ref{app:PKS2158-380},,PKS 2158-380,0.0334,149.0,2,?,19,,284,,0.213
\ref{app:PKS2354-35},,PKS 2354-35,0.0491,222.0,L,?,2,,346,,
\ref{app:SuperantennaeS},,Superantennae S,0.0624,291.0,2,o,221,533,440,0.86,0.998
\ref{app:UGC05101},,UGC 5101,0.0394,182.0,Cp,ellip.,227,230,597,0.87,0.908
\ref{app:UGC12348},,UGC 12348,0.0255,110.0,2,o,98,158,282,,0.901
\ref{app:Z041-020},83,Z 41-20,0.0360,170.0,2,?,29,,238,0.49,0.222
